time,positive,neutral,negative,total
2025-10-04 14:32:39,33.75,56.25,10.0,80
2025-10-04 14:42:59,33.75,57.49999999999999,8.75,80
2025-10-04 17:39:55.249471,36.25,55.00000000000001,8.75,80
2025-10-07 08:48:52.090707,42.5,49.0,8.5,200
2025-10-07 09:03:00.532624,43.0,48.5,8.5,200
2025-10-07 09:51:11,37.5,56.25,6.25,80
2025-10-07 10:00:02,43.0,49.0,8.0,200
2025-10-07 10:03:19,43.0,49.0,8.0,200
2025-10-07 10:59:49,42.5,49.0,8.5,200
2025-10-08 06:42:17,33.0,58.5,8.5,200
2025-10-08 06:54:22,32.5,59.0,8.5,200
2025-10-08 07:05:27,32.5,59.0,8.5,200
2025-10-08 07:08:15,32.5,59.0,8.5,200
2025-10-08 07:39:37,28.333333333333332,64.33333333333333,7.333333333333333,300
2025-10-08 07:57:17,28.000000000000004,64.66666666666666,7.333333333333333,300
